RECNUM	CODIGO_FORNEC	NRO_OBRIG	SERIE_OBRIG	CODIGO_MOEDA	DT_EMISSAO	DT_RECEB	DT_VCTO	DT_ULT_PGTO	VL_TOTAL	VL_PGTO	VL_JUROS	VL_DCTO	VL_DESP	CODIGO_GROBRIG	SUBSTITUIDA	GERA_MV_CTB	NRO_NFE	DT_REG	CODIGO_USUARIOD	ACEITE	DT_ACEITE	CODIGO_USUARIOA	INTEGRA_CTB	OBSERVACAO_1	OBSERVACAO_2	FLAG_SUBSTITUI	VALOR_SUBSTITUI	VALOR_SUBST_AUX	CODIGO_BANCO	NRO_LOTE	NRO_BANCO	CODIGO_BARRAS	DT_EFETIV_PGTO	DT_VCTO_AUX	VL_DCTO_BANCO	VL_ACRESC_BANCO	CONTACTB	CENTRO_CUSTO	FLAG_IMPORTA	SAFRA	NRO_NOTA_ORIG	SERIE_NOTA_ORIG	NRO_PAGAMENTO	FLAG_BAIXA	VL_BAIXA	VL_JUROS_BAIXA	VL_DCTO_BAIXA	CONTACTB_MIOLO	BANCO_OBRIG	DT_RECEB_BOLET	CONTA_ORCAMENT	STATUS	CODIGO_USUARIOL	CODIGO_USUARIOB	DT_LIBERACAO	DT_BLOQUEIO	CODIGO_PERFILCC	LOTE	CODIGO_DESPVAR	FORNEC_DARF	OBRIG_DARF	SERIE_DARF	CODIGO_TIPOPAG	CODIGO_FORMAPAG	CODIGO_REPRES	VL_MULTA	FLAG_CH_DEV	VL_MULTA_BAIXA	GUID
949	66	1354,0	1  	1	07/06/2018	04/07/2018	07/06/2018	07/06/2018	1354,0	1354,0	0,0	0,0	0,0	121	N	 	0,0	04/07/2018	6	S	04/07/2018	6	S			 	0,0	0,0	0	0					0,0	0,0	0	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
950	103	543,0	1  	1	07/06/2018	04/07/2018	07/06/2018	07/06/2018	543,0	543,0	0,0	0,0	0,0	121	N	 	0,0	04/07/2018	6	S	04/07/2018	6	S			 	0,0	0,0	0	0					0,0	0,0	0	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
951	152	839,0	1  	1	07/06/2018	04/07/2018	07/06/2018	07/06/2018	839,0	839,0	0,0	0,0	0,0	121	N	 	0,0	04/07/2018	6	S	04/07/2018	6	S			 	0,0	0,0	0	0					0,0	0,0	0	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
952	65	784,0	1  	1	07/06/2018	04/07/2018	07/06/2018	07/06/2018	784,0	784,0	0,0	0,0	0,0	121	N	 	0,0	04/07/2018	6	S	04/07/2018	6	S			 	0,0	0,0	0	0					0,0	0,0	0	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
953	62	1386,0	1  	1	07/06/2018	04/07/2018	07/06/2018	07/06/2018	1386,0	1386,0	0,0	0,0	0,0	121	N	 	0,0	04/07/2018	6	S	04/07/2018	6	S			 	0,0	0,0	0	0					0,0	0,0	0	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
954	94	753,0	1  	1	07/06/2018	04/07/2018	07/06/2018	07/06/2018	753,0	753,0	0,0	0,0	0,0	121	N	 	0,0	04/07/2018	6	S	04/07/2018	6	S			 	0,0	0,0	0	0					0,0	0,0	0	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
955	93	819,0	1  	1	07/06/2018	04/07/2018	07/06/2018	07/06/2018	819,0	819,0	0,0	0,0	0,0	121	N	 	0,0	04/07/2018	6	S	04/07/2018	6	S			 	0,0	0,0	0	0					0,0	0,0	0	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
956	92	1124,0	1  	1	07/06/2018	04/07/2018	07/06/2018	07/06/2018	1124,0	1124,0	0,0	0,0	0,0	121	N	 	0,0	04/07/2018	6	S	04/07/2018	6	S			 	0,0	0,0	0	0					0,0	0,0	0	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
957	112	592,0	1  	1	07/06/2018	04/07/2018	07/06/2018	07/06/2018	592,0	592,0	0,0	0,0	0,0	121	N	 	0,0	04/07/2018	6	S	04/07/2018	6	S			 	0,0	0,0	0	0					0,0	0,0	0	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
958	57	16904,0	1E 	1	05/06/2018	11/06/2018	05/06/2018	07/06/2018	495000,0	495000,0	0,0	0,0	0,0	106	N	 	0,0	04/07/2018	8	S	04/07/2018	6	S	FINAME		 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
